operaciones_ult_12m;gastos_ult_12m;limite_credito_tc;antiguedad_cliente;tasa_interes;ingresos;pct_ingreso;antiguedad_empleado;edad;estado_civil_N;estado_credito_N;importe_solicitado;duracion_credito;situacion_vivienda;objetivo_credito;falta_pago;estado_cliente;genero;nivel_educativo;personas_a_cargo;cluster
15_a_30;2k_a_4k;3k_a_5k;2y_a_4y;15p_a_20p;50k_a_100k;40_a_60;;menor_25;C;C;35000.0;3.0;ALQUILER;PERSONAL;Y;ACTIVO;M;UNIVERSITARIO_COMPLETO;2.0;1
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;hasta_20k;hasta_20;5_a_10;menor_25;C;P;1000.0;2.0;PROPIA;EDUCACIÓN;N;ACTIVO;M;SECUNDARIO_COMPLETO;3.0;0
15_a_30;2k_a_4k;3k_a_5k;2y_a_4y;15p_a_20p;50k_a_100k;40_a_60;5_a_10;menor_25;C;C;35000.0;2.0;ALQUILER;SALUD;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;3.0;1
15_a_30;2k_a_4k;5k_a_10k;mayor_4y;7p_a_15p;50k_a_100k;40_a_60;5_a_10;menor_25;C;C;35000.0;4.0;ALQUILER;SALUD;Y;ACTIVO;M;DESCONOCIDO;1.0;1
15_a_30;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;hasta_20k;20_a_40;menor_5;menor_25;N;C;2500.0;2.0;PROPIA;INVERSIONES;N;ACTIVO;F;SECUNDARIO_COMPLETO;4.0;1
15_a_30;menor_1k;3k_a_5k;menor_2y;7p_a_15p;50k_a_100k;40_a_60;5_a_10;25_a_30;C;C;35000.0;3.0;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;3.0;1
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;50k_a_100k;40_a_60;5_a_10;menor_25;C;C;35000.0;4.0;ALQUILER;SALUD;N;ACTIVO;M;DESCONOCIDO;4.0;1
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;50k_a_100k;40_a_60;5_a_10;menor_25;N;C;35000.0;2.0;ALQUILER;PERSONAL;N;ACTIVO;M;SECUNDARIO_COMPLETO;0.0;0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;hasta_20k;hasta_20;5_a_10;menor_25;S;C;1600.0;3.0;PROPIA;INVERSIONES;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;3.0;1
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;50k_a_100k;40_a_60;5_a_10;menor_25;S;C;35000.0;4.0;ALQUILER;INVERSIONES;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;2.0;1
30_a_50;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;hasta_20k;40_a_60;menor_5;menor_25;N;C;4500.0;2.0;PROPIA;MEJORAS_HOGAR;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;5.0;1
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;50k_a_100k;20_a_40;menor_5;menor_25;S;C;35000.0;2.0;ALQUILER;INVERSIONES;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;1.0;0
30_a_50;2k_a_4k;5k_a_10k;2y_a_4y;15p_a_20p;mayor_100k;20_a_40;5_a_10;25_a_30;N;C;35000.0;4.0;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;3.0;1
15_a_30;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;mayor_100k;20_a_40;menor_5;menor_25;C;P;35000.0;4.0;ALQUILER;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;2.0;1
15_a_30;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;mayor_100k;hasta_20;5_a_10;menor_25;N;P;30000.0;3.0;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;DESCONOCIDO;4.0;1
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;mayor_100k;20_a_40;menor_5;menor_25;S;P;35000.0;4.0;ALQUILER;EDUCACIÓN;N;ACTIVO;M;POSGRADO_INCOMPLETO;4.0;1
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;mayor_20p;50k_a_100k;20_a_40;5_a_10;menor_25;C;C;35000.0;4.0;ALQUILER;SALUD;N;ACTIVO;M;DESCONOCIDO;3.0;1
30_a_50;2k_a_4k;3k_a_5k;mayor_4y;15p_a_20p;mayor_100k;20_a_40;5_a_10;menor_25;C;C;35000.0;4.0;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;SECUNDARIO_COMPLETO;1.0;1
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;hasta_20k;hasta_20;5_a_10;menor_25;C;C;1750.0;2.0;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;2.0;0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;mayor_100k;20_a_40;menor_5;25_a_30;D;P;35000.0;4.0;ALQUILER;INVERSIONES;N;ACTIVO;M;POSGRADO_COMPLETO;1.0;1
15_a_30;menor_1k;menor_3k;mayor_4y;15p_a_20p;mayor_100k;20_a_40;5_a_10;25_a_30;C;P;34800.0;2.0;ALQUILER;PERSONAL;Y;PASIVO;F;UNIVERSITARIO_COMPLETO;0.0;0
15_a_30;menor_1k;3k_a_5k;2y_a_4y;15p_a_20p;50k_a_100k;40_a_60;5_a_10;menor_25;C;C;34000.0;4.0;ALQUILER;EDUCACIÓN;N;ACTIVO;M;SECUNDARIO_COMPLETO;3.0;1
15_a_30;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;hasta_20k;hasta_20;menor_5;menor_25;S;P;1500.0;3.0;PROPIA;PERSONAL;N;ACTIVO;F;DESCONOCIDO;4.0;1
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;50k_a_100k;40_a_60;menor_5;menor_25;C;C;33950.0;4.0;ALQUILER;PERSONAL;Y;ACTIVO;M;DESCONOCIDO;2.0;1
15_a_30;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;50k_a_100k;40_a_60;5_a_10;menor_25;S;C;33000.0;3.0;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;3.0;1
15_a_30;2k_a_4k;menor_3k;2y_a_4y;15p_a_20p;hasta_20k;40_a_60;menor_5;menor_25;C;C;4575.0;3.0;HIPOTECA;INVERSIONES;Y;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;2.0;0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;hasta_20k;hasta_20;menor_5;menor_25;N;P;1400.0;3.0;PROPIA;PERSONAL;N;ACTIVO;M;SECUNDARIO_COMPLETO;1.0;0
30_a_50;2k_a_4k;mayor_10k;mayor_4y;7p_a_15p;50k_a_100k;40_a_60;5_a_10;menor_25;C;C;32500.0;3.0;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;DESCONOCIDO;1.0;0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;hasta_20k;20_a_40;5_a_10;menor_25;S;C;4000.0;2.0;OTROS;EDUCACIÓN;Y;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;1.0;0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;hasta_20k;hasta_20;5_a_10;menor_25;S;C;2000.0;3.0;PROPIA;SALUD;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;3.0;1
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;hasta_7p;mayor_100k;20_a_40;menor_5;25_a_30;C;P;32000.0;2.0;ALQUILER;INVERSIONES;N;ACTIVO;M;SECUNDARIO_COMPLETO;4.0;1
15_a_30;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;50k_a_100k;20_a_40;5_a_10;25_a_30;C;C;31050.0;3.0;ALQUILER;MEJORAS_HOGAR;Y;ACTIVO;M;DESCONOCIDO;3.0;1
15_a_30;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;mayor_100k;hasta_20;menor_5;25_a_30;C;P;24250.0;3.0;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;2.0;1
15_a_30;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;mayor_100k;hasta_20;mayor_10;25_a_30;C;P;7800.0;4.0;HIPOTECA;SALUD;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;4.0;1
15_a_30;2k_a_4k;mayor_10k;mayor_4y;7p_a_15p;hasta_20k;20_a_40;5_a_10;menor_25;C;C;2500.0;4.0;PROPIA;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;0.0;0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;15p_a_20p;20k_a_50k;mayor_60;menor_5;menor_25;C;C;30000.0;2.0;ALQUILER;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;3.0;1
15_a_30;menor_1k;5k_a_10k;mayor_4y;7p_a_15p;50k_a_100k;40_a_60;5_a_10;menor_25;C;C;30000.0;3.0;ALQUILER;PAGO_DEUDAS;Y;PASIVO;F;POSGRADO_COMPLETO;0.0;0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;15p_a_20p;50k_a_100k;40_a_60;5_a_10;25_a_30;C;C;30000.0;4.0;ALQUILER;MEJORAS_HOGAR;Y;ACTIVO;M;SECUNDARIO_COMPLETO;3.0;1
15_a_30;menor_1k;mayor_10k;2y_a_4y;;50k_a_100k;40_a_60;menor_5;menor_25;C;C;30000.0;4.0;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;SECUNDARIO_COMPLETO;4.0;1
15_a_30;2k_a_4k;3k_a_5k;mayor_4y;15p_a_20p;50k_a_100k;40_a_60;5_a_10;25_a_30;N;C;30000.0;2.0;ALQUILER;SALUD;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;1.0;0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;hasta_20k;20_a_40;5_a_10;menor_25;S;C;2500.0;3.0;PROPIA;INVERSIONES;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;3.0;1
15_a_30;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;mayor_100k;hasta_20;mayor_10;25_a_30;C;P;20000.0;4.0;HIPOTECA;INVERSIONES;N;ACTIVO;M;DESCONOCIDO;2.0;1
15_a_30;menor_1k;menor_3k;2y_a_4y;15p_a_20p;mayor_100k;hasta_20;menor_5;menor_25;C;P;24250.0;2.0;PROPIA;EDUCACIÓN;Y;PASIVO;F;UNIVERSITARIO_COMPLETO;1.0;0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;mayor_100k;hasta_20;5_a_10;25_a_30;S;P;10000.0;4.0;PROPIA;MEJORAS_HOGAR;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;1.0;0
15_a_30;2k_a_4k;5k_a_10k;2y_a_4y;15p_a_20p;mayor_100k;hasta_20;menor_5;25_a_30;S;P;25000.0;3.0;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;4.0;1
